,crossings,group
1,7.0,halus
2,7.0,halus
3,7.0,halus
4,12.0,halus
5,7.0,halus
6,7.0,halus
7,10.0,halus
8,8.0,halus
9,11.0,halus
10,6.0,halus
11,10.0,halus
12,6.0,halus
13,9.0,halus
14,10.0,halus
15,4.0,halus
16,7.0,halus
17,9.0,halus
18,8.0,halus
19,12.0,halus
20,11.0,halus
21,14.0,halus
22,12.0,halus
23,4.0,halus
24,12.0,halus
25,6.0,halus
26,9.0,halus
27,9.0,halus
28,6.0,halus
29,8.0,halus
30,14.0,halus
31,7.0,halus
32,9.0,halus
33,8.0,halus
34,6.0,halus
35,8.0,halus
36,9.0,halus
37,7.0,halus
38,15.0,halus
39,7.0,halus
40,10.0,halus
41,6.0,halus
42,7.0,halus
43,9.0,halus
44,8.0,halus
45,10.0,halus
46,14.0,halus
47,12.0,halus
48,18.0,halus
49,9.0,halus
50,11.0,halus
51,9.0,halus
52,9.0,halus
53,8.0,gagah
54,10.0,gagah
55,30.0,gagah
56,12.0,gagah
57,11.0,gagah
58,12.0,gagah
59,9.0,gagah
60,10.0,gagah
61,12.0,gagah
62,8.0,gagah
63,21.0,gagah
64,25.0,gagah
65,13.0,gagah
66,20.0,gagah
67,21.0,gagah
68,12.0,gagah
69,9.0,gagah
70,12.0,gagah
71,9.0,gagah
72,14.0,gagah
73,31.0,gagah
74,14.0,gagah
75,11.0,gagah
76,12.0,gagah
77,14.0,gagah
78,12.0,gagah
79,8.0,gagah
80,9.0,gagah
81,8.0,gagah
82,10.0,gagah
83,8.0,gagah
84,9.0,gagah
85,9.0,gagah
86,8.0,gagah
87,11.0,gagah
88,7.0,gagah
89,21.0,gagah
90,12.0,gagah
91,9.0,gagah
92,12.0,gagah
93,9.0,gagah
94,13.0,gagah
95,10.0,gagah
96,6.0,gagah
97,8.0,gagah
98,11.0,gagah
99,8.0,gagah
100,16.0,gagah
101,8.0,gagah
102,11.0,gagah
103,13.0,gagah
104,9.0,gagah
105,13.0,other
106,9.0,other
107,10.0,other
108,9.0,other
109,10.0,other
110,10.0,other
111,10.0,other
112,12.0,other
113,12.0,other
114,11.0,other
115,11.0,other
116,13.0,other
117,10.0,other
118,21.0,other
119,10.0,other
120,11.0,other
121,7.0,other
122,10.0,other
123,11.0,other
124,13.0,other
125,14.0,other
126,12.0,other
127,43.0,other
128,12.0,other
129,10.0,other
130,28.0,other
131,8.0,other
132,10.0,other
133,10.0,other
134,9.0,other
135,7.0,other
136,8.0,other
137,8.0,other
138,8.0,other
139,8.0,other
140,8.0,other
141,11.0,other
142,11.0,other
143,9.0,other
144,8.0,other
145,11.0,other
146,8.0,other
147,9.0,other
148,10.0,other
149,9.0,other
150,11.0,other
151,12.0,other
152,9.0,other
153,5.0,other
154,11.0,other
155,10.0,other
156,8.0,other
