,crossings,group
1,73.0,halus
2,66.0,halus
3,107.0,halus
4,125.0,halus
5,93.0,halus
6,94.0,halus
7,34.0,halus
8,72.0,halus
9,35.0,halus
10,63.0,halus
11,122.0,halus
12,88.0,halus
13,89.0,halus
14,66.0,halus
15,97.0,halus
16,83.0,halus
17,75.0,halus
18,56.0,halus
19,120.0,halus
20,58.0,halus
21,139.0,halus
22,136.0,halus
23,114.0,halus
24,86.0,halus
25,38.0,halus
26,43.0,halus
27,143.0,halus
28,71.0,halus
29,110.0,halus
30,145.0,halus
31,102.0,halus
32,69.0,halus
33,54.0,halus
34,53.0,halus
35,52.0,halus
36,116.0,halus
37,209.0,halus
38,86.0,halus
39,169.0,halus
40,104.0,halus
41,117.0,halus
42,75.0,halus
43,69.0,halus
44,117.0,halus
45,129.0,halus
46,55.0,halus
47,165.0,halus
48,216.0,halus
49,183.0,halus
50,78.0,halus
51,96.0,halus
52,134.0,halus
53,99.0,gagah
54,44.0,gagah
55,131.0,gagah
56,93.0,gagah
57,91.0,gagah
58,120.0,gagah
59,80.0,gagah
60,63.0,gagah
61,69.0,gagah
62,120.0,gagah
63,125.0,gagah
64,96.0,gagah
65,155.0,gagah
66,101.0,gagah
67,127.0,gagah
68,76.0,gagah
69,77.0,gagah
70,96.0,gagah
71,122.0,gagah
72,60.0,gagah
73,133.0,gagah
74,183.0,gagah
75,101.0,gagah
76,85.0,gagah
77,52.0,gagah
78,93.0,gagah
79,26.0,gagah
80,37.0,gagah
81,85.0,gagah
82,64.0,gagah
83,45.0,gagah
84,25.0,gagah
85,27.0,gagah
86,48.0,gagah
87,25.0,gagah
88,41.0,gagah
89,103.0,gagah
90,56.0,gagah
91,71.0,gagah
92,62.0,gagah
93,47.0,gagah
94,30.0,gagah
95,47.0,gagah
96,48.0,gagah
97,50.0,gagah
98,56.0,gagah
99,91.0,gagah
100,37.0,gagah
101,82.0,gagah
102,33.0,gagah
103,23.0,gagah
104,42.0,gagah
105,128.0,other
106,81.0,other
107,125.0,other
108,91.0,other
109,127.0,other
110,101.0,other
111,59.0,other
112,71.0,other
113,57.0,other
114,117.0,other
115,171.0,other
116,106.0,other
117,177.0,other
118,153.0,other
119,139.0,other
120,97.0,other
121,110.0,other
122,111.0,other
123,117.0,other
124,85.0,other
125,134.0,other
126,160.0,other
127,170.0,other
128,131.0,other
129,107.0,other
130,147.0,other
131,39.0,other
132,20.0,other
133,24.0,other
134,34.0,other
135,24.0,other
136,42.0,other
137,19.0,other
138,24.0,other
139,18.0,other
140,22.0,other
141,43.0,other
142,39.0,other
143,19.0,other
144,38.0,other
145,32.0,other
146,23.0,other
147,28.0,other
148,31.0,other
149,47.0,other
150,13.0,other
151,23.0,other
152,51.0,other
153,30.0,other
154,25.0,other
155,19.0,other
156,19.0,other
