,crossings,group
1,3.0,halus
2,5.0,halus
3,2.0,halus
4,8.0,halus
5,4.0,halus
6,7.0,halus
7,6.0,halus
8,2.0,halus
9,7.0,halus
10,4.0,halus
11,6.0,halus
12,6.0,halus
13,3.0,halus
14,7.0,halus
15,2.0,halus
16,3.0,halus
17,5.0,halus
18,3.0,halus
19,2.0,halus
20,6.0,halus
21,4.0,halus
22,11.0,halus
23,4.0,halus
24,8.0,halus
25,5.0,halus
26,1.0,halus
27,4.0,halus
28,3.0,halus
29,6.0,halus
30,6.0,halus
31,5.0,halus
32,7.0,halus
33,7.0,halus
34,3.0,halus
35,6.0,halus
36,2.0,halus
37,5.0,halus
38,7.0,halus
39,3.0,halus
40,4.0,halus
41,3.0,halus
42,6.0,halus
43,5.0,halus
44,3.0,halus
45,4.0,halus
46,10.0,halus
47,4.0,halus
48,7.0,halus
49,6.0,halus
50,10.0,halus
51,2.0,halus
52,1.0,halus
53,7.0,gagah
54,9.0,gagah
55,3.0,gagah
56,11.0,gagah
57,7.0,gagah
58,5.0,gagah
59,5.0,gagah
60,6.0,gagah
61,11.0,gagah
62,9.0,gagah
63,11.0,gagah
64,10.0,gagah
65,4.0,gagah
66,6.0,gagah
67,5.0,gagah
68,11.0,gagah
69,10.0,gagah
70,8.0,gagah
71,6.0,gagah
72,8.0,gagah
73,5.0,gagah
74,7.0,gagah
75,10.0,gagah
76,7.0,gagah
77,8.0,gagah
78,7.0,gagah
79,6.0,gagah
80,8.0,gagah
81,9.0,gagah
82,7.0,gagah
83,7.0,gagah
84,7.0,gagah
85,6.0,gagah
86,7.0,gagah
87,11.0,gagah
88,7.0,gagah
89,7.0,gagah
90,6.0,gagah
91,5.0,gagah
92,8.0,gagah
93,4.0,gagah
94,7.0,gagah
95,8.0,gagah
96,4.0,gagah
97,8.0,gagah
98,9.0,gagah
99,8.0,gagah
100,8.0,gagah
101,5.0,gagah
102,9.0,gagah
103,8.0,gagah
104,6.0,gagah
105,5.0,other
106,8.0,other
107,5.0,other
108,8.0,other
109,6.0,other
110,6.0,other
111,6.0,other
112,7.0,other
113,6.0,other
114,9.0,other
115,7.0,other
116,6.0,other
117,5.0,other
118,4.0,other
119,4.0,other
120,10.0,other
121,4.0,other
122,3.0,other
123,7.0,other
124,8.0,other
125,9.0,other
126,6.0,other
127,9.0,other
128,6.0,other
129,4.0,other
130,4.0,other
131,6.0,other
132,6.0,other
133,8.0,other
134,5.0,other
135,5.0,other
136,5.0,other
137,8.0,other
138,4.0,other
139,6.0,other
140,8.0,other
141,9.0,other
142,5.0,other
143,9.0,other
144,6.0,other
145,3.0,other
146,7.0,other
147,7.0,other
148,4.0,other
149,7.0,other
150,7.0,other
151,8.0,other
152,3.0,other
153,4.0,other
154,9.0,other
155,8.0,other
156,6.0,other
