kambeng_LHipAngles_x,kambeng_LHipAngles_y,kambeng_LHipAngles_z,kambeng_LKneeAngles_x,kambeng_LKneeAngles_y,kambeng_LKneeAngles_z,kambeng_RHipAngles_x,kambeng_RHipAngles_y,kambeng_RHipAngles_z,kambeng_RKneeAngles_x,kambeng_RKneeAngles_y,kambeng_RKneeAngles_z,kambeng_LShoulderAngles_x,kambeng_LShoulderAngles_y,kambeng_LShoulderAngles_z,kambeng_LElbowAngles_x,kambeng_LElbowAngles_y,kambeng_LElbowAngles_z,kambeng_LWristAngles_x,kambeng_LWristAngles_y,kambeng_LWristAngles_z,kambeng_RShoulderAngles_x,kambeng_RShoulderAngles_y,kambeng_RShoulderAngles_z,kambeng_RElbowAngles_x,kambeng_RElbowAngles_y,kambeng_RElbowAngles_z,kambeng_RWristAngles_x,kambeng_RWristAngles_y,kambeng_RWristAngles_z,impur_LHipAngles_x,impur_LHipAngles_y,impur_LHipAngles_z,impur_LKneeAngles_x,impur_LKneeAngles_y,impur_LKneeAngles_z,impur_RHipAngles_x,impur_RHipAngles_y,impur_RHipAngles_z,impur_RKneeAngles_x,impur_RKneeAngles_y,impur_RKneeAngles_z,impur_LShoulderAngles_x,impur_LShoulderAngles_y,impur_LShoulderAngles_z,impur_LElbowAngles_x,impur_LElbowAngles_y,impur_LElbowAngles_z,impur_LWristAngles_x,impur_LWristAngles_y,impur_LWristAngles_z,impur_RShoulderAngles_x,impur_RShoulderAngles_y,impur_RShoulderAngles_z,impur_RElbowAngles_x,impur_RElbowAngles_y,impur_RElbowAngles_z,impur_RWristAngles_x,impur_RWristAngles_y,impur_RWristAngles_z,kagok-kinantang_LHipAngles_x,kagok-kinantang_LHipAngles_y,kagok-kinantang_LHipAngles_z,kagok-kinantang_LKneeAngles_x,kagok-kinantang_LKneeAngles_y,kagok-kinantang_LKneeAngles_z,kagok-kinantang_RHipAngles_x,kagok-kinantang_RHipAngles_y,kagok-kinantang_RHipAngles_z,kagok-kinantang_RKneeAngles_x,kagok-kinantang_RKneeAngles_y,kagok-kinantang_RKneeAngles_z,kagok-kinantang_LShoulderAngles_x,kagok-kinantang_LShoulderAngles_y,kagok-kinantang_LShoulderAngles_z,kagok-kinantang_LElbowAngles_x,kagok-kinantang_LElbowAngles_y,kagok-kinantang_LElbowAngles_z,kagok-kinantang_LWristAngles_x,kagok-kinantang_LWristAngles_y,kagok-kinantang_LWristAngles_z,kagok-kinantang_RShoulderAngles_x,kagok-kinantang_RShoulderAngles_y,kagok-kinantang_RShoulderAngles_z,kagok-kinantang_RElbowAngles_x,kagok-kinantang_RElbowAngles_y,kagok-kinantang_RElbowAngles_z,kagok-kinantang_RWristAngles_x,kagok-kinantang_RWristAngles_y,kagok-kinantang_RWristAngles_z,kalang-kinantang_LHipAngles_x,kalang-kinantang_LHipAngles_y,kalang-kinantang_LHipAngles_z,kalang-kinantang_LKneeAngles_x,kalang-kinantang_LKneeAngles_y,kalang-kinantang_LKneeAngles_z,kalang-kinantang_RHipAngles_x,kalang-kinantang_RHipAngles_y,kalang-kinantang_RHipAngles_z,kalang-kinantang_RKneeAngles_x,kalang-kinantang_RKneeAngles_y,kalang-kinantang_RKneeAngles_z,kalang-kinantang_LShoulderAngles_x,kalang-kinantang_LShoulderAngles_y,kalang-kinantang_LShoulderAngles_z,kalang-kinantang_LElbowAngles_x,kalang-kinantang_LElbowAngles_y,kalang-kinantang_LElbowAngles_z,kalang-kinantang_LWristAngles_x,kalang-kinantang_LWristAngles_y,kalang-kinantang_LWristAngles_z,kalang-kinantang_RShoulderAngles_x,kalang-kinantang_RShoulderAngles_y,kalang-kinantang_RShoulderAngles_z,kalang-kinantang_RElbowAngles_x,kalang-kinantang_RElbowAngles_y,kalang-kinantang_RElbowAngles_z,kalang-kinantang_RWristAngles_x,kalang-kinantang_RWristAngles_y,kalang-kinantang_RWristAngles_z,kambeng-dhengklik_LHipAngles_x,kambeng-dhengklik_LHipAngles_y,kambeng-dhengklik_LHipAngles_z,kambeng-dhengklik_LKneeAngles_x,kambeng-dhengklik_LKneeAngles_y,kambeng-dhengklik_LKneeAngles_z,kambeng-dhengklik_RHipAngles_x,kambeng-dhengklik_RHipAngles_y,kambeng-dhengklik_RHipAngles_z,kambeng-dhengklik_RKneeAngles_x,kambeng-dhengklik_RKneeAngles_y,kambeng-dhengklik_RKneeAngles_z,kambeng-dhengklik_LShoulderAngles_x,kambeng-dhengklik_LShoulderAngles_y,kambeng-dhengklik_LShoulderAngles_z,kambeng-dhengklik_LElbowAngles_x,kambeng-dhengklik_LElbowAngles_y,kambeng-dhengklik_LElbowAngles_z,kambeng-dhengklik_LWristAngles_x,kambeng-dhengklik_LWristAngles_y,kambeng-dhengklik_LWristAngles_z,kambeng-dhengklik_RShoulderAngles_x,kambeng-dhengklik_RShoulderAngles_y,kambeng-dhengklik_RShoulderAngles_z,kambeng-dhengklik_RElbowAngles_x,kambeng-dhengklik_RElbowAngles_y,kambeng-dhengklik_RElbowAngles_z,kambeng-dhengklik_RWristAngles_x,kambeng-dhengklik_RWristAngles_y,kambeng-dhengklik_RWristAngles_z,jatayu_LHipAngles_x,jatayu_LHipAngles_y,jatayu_LHipAngles_z,jatayu_LKneeAngles_x,jatayu_LKneeAngles_y,jatayu_LKneeAngles_z,jatayu_RHipAngles_x,jatayu_RHipAngles_y,jatayu_RHipAngles_z,jatayu_RKneeAngles_x,jatayu_RKneeAngles_y,jatayu_RKneeAngles_z,jatayu_LShoulderAngles_x,jatayu_LShoulderAngles_y,jatayu_LShoulderAngles_z,jatayu_LElbowAngles_x,jatayu_LElbowAngles_y,jatayu_LElbowAngles_z,jatayu_LWristAngles_x,jatayu_LWristAngles_y,jatayu_LWristAngles_z,jatayu_RShoulderAngles_x,jatayu_RShoulderAngles_y,jatayu_RShoulderAngles_z,jatayu_RElbowAngles_x,jatayu_RElbowAngles_y,jatayu_RElbowAngles_z,jatayu_RWristAngles_x,jatayu_RWristAngles_y,jatayu_RWristAngles_z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002897,-0.000596,0.003222,-0.000028,0.000122,-0.000792,-0.000277,-0.000078,-0.001081,-0.000242,0.000022,-0.000242,-0.000094,-0.000085,-0.000283,0.0001,0,0,0.003205,-0.006013,0.002015,-0.000512,0.000788,0.002103,-0.004677,0,0,0.003144,-0.0021,0.000779,-0.000033,0.000004,0.000009,-0.000062,0.000042,-0.000016,0.000035,-0.000051,-0.000053,0.000077,-0.000042,0.000011,-0.000012,0.00004,0.000066,-0.000016,0,0,-0.000065,0.000293,0.000349,-0.000005,-0.000022,0.000014,0.000023,0,0,0.000024,0.00001,-9.75781955236954E-19,-0.000078,-0.000227,-0.000061,0.000368,-0.000096,0.002151,0.000458,-0.000094,0.000518,0.000107,0.000006,-0.000055,0.000035,0.000017,0.000009,0.000025,0,0,-0.000141,0.000196,-0.000042,-0.000035,-0.00002,-0.00006,0.000023,0,0,0.000092,-0.000016,0.000013,-0.000184,-0.000063,-0.000154,0.00003,0.000062,0.000029,0.000111,-0.000054,0.000107,5.67998339334741E-14,-0.000006,0.000017,0.000033,0.000031,0.000037,-0.00004,0,0,0.000063,-0.000101,0.00013,-0.000026,-0.000048,-0.000034,0.000014,0,0,0.00001,0.000007,0.00006,-0.08136,-0.002539,-0.080013,0.00029,0.000576,-0.000539,-0.00075,0.000317,-0.000549,-0.000062,0.000695,0.000184,-0.000073,0.000001,0.000243,0.000526,0,0,-0.001037,-0.00015,-0.000825,0.000164,-0.000239,-0.001852,-0.002342,0,0,0.002067,-0.00252,0.010742,0.000054,-0.000009,0.000032,-0.000025,-0.000012,-0.000084,-0.000017,-0.000019,0.000086,0.000047,0.000004,0.000016,-0.000016,-0.000013,0.000225,-0.000115,0,0,-0.000414,0.001432,0.001557,-0.000031,0.000004,0.00003,-0.000047,0,0,0.000039,0.00009,-0.000007
0.002809,-0.00048,0.003119,0.000058,0.000164,0.000057,-0.000243,-0.000083,-0.001018,-0.00011,-0.000009,-0.000205,-0.000103,-0.000051,-0.00026,0.000144,0,0,0.00313,-0.006203,0.001845,-0.0004,0.00084,0.002177,-0.004111,0,0,0.00257,-0.00178,0.000914,0.000003,-0.000001,0.00009,0.000045,0.00005,0.000061,-0.000027,0.000035,0.000079,-0.000075,0.00005,-0.000006,0.000002,0.000003,0.000012,-0.000022,0,0,0.00023,-0.000158,-0.00041,-0.000006,-0.000021,-0.000014,-0.000031,0,0,-0.000046,0.000004,0.00004,-0.000043,-0.000231,-0.000152,0.000273,-0.000118,0.00179,0.000475,-0.000084,0.000567,0.000076,0.00005,-0.000009,0.000029,-0.000031,-0.000142,-0.000025,0,0,0.000063,-0.000225,0.00008,-0.000027,0.000002,-0.000053,-0.000009,0,0,0.000038,-0.00005,0.000078,-0.000075,-0.00007,-0.000048,0.000046,0.000021,0.000076,0.000015,0.000038,0.000014,-0.000016,-0.000013,-0.000011,-0.000032,-0.000005,-0.000008,0.000076,0,0,-0.000259,0.000144,-0.000092,0.000025,0.000022,0.000026,-0.000022,0,0,0.000006,-0.000008,-0.000044,-0.086288,0.001174,-0.084798,0.000213,0.000673,-0.00071,-0.000898,0.000289,-0.000737,-0.000061,0.000595,0.000193,-0.00007,-0.000002,0.000192,0.000512,0,0,-0.000887,-0.00021,-0.000489,0.00018,-0.000237,-0.001553,-0.002292,0,0,0.002021,-0.001981,0.009163,-0.000076,-0.000056,0.000156,0.000055,0.000119,-0.000022,-0.000076,-0.00002,0.000108,-0.000032,0.000023,0.00002,-0.000048,0.000021,0.000194,-0.000026,0,0,-0.000406,0.001426,0.000648,-0.000001,0.000023,0.000019,-0.000022,0,0,0.000023,0.000107,-0.000047
0.002639,-0.000482,0.002975,0.000011,0.00016,-0.000671,-0.000153,-0.000073,-0.000941,-0.000195,-0.000005,-0.000253,-0.000104,-0.000093,-0.000226,0.000115,0,0,0.003069,-0.005924,0.001595,-0.000329,0.00085,0.002225,-0.003518,0,0,0.002092,-0.001381,0.001053,0.000066,0.000037,-0.000107,-0.000075,-0.000103,-0.000291,-0.000012,-9.99634403031635E-17,-0.000083,0.000028,-0.000047,-0.000008,-0.000009,-0.000023,0.000002,-0.000004,0,0,0.000011,0.000203,0.000143,0.000017,0.000023,9.99634403031635E-17,0.000015,0,0,0.000075,-0.00001,0.000033,-0.000087,-0.000244,-0.000032,0.000352,-0.000044,0.001826,0.00041,-0.000043,0.000416,0.000061,-0.000013,-0.000078,0.000028,0.000006,0.000002,0.000056,0,0,-0.000118,0.000019,-0.000084,-0.000016,0.000006,-0.000028,0.000046,0,0,-0.000008,-0.000004,0.000105,-0.000138,-0.000056,-0.000135,-0.000054,0.000053,-0.000001,0.000142,-0.00003,0.000158,0.000033,0.000008,-0.000003,0.000022,0.000005,0.000036,-0.000013,0,0,0.000015,-0.000052,0.000065,-0.000018,-0.000004,-0.000022,0.000015,0,0,0.000016,0.000021,0.000014,-0.082489,0.004868,-0.080881,0.000254,0.00086,-0.000713,-0.001035,0.000211,-0.000817,-0.000091,0.000609,0.000131,-0.000033,-0.000029,0.00022,0.000504,0,0,-0.000803,-0.000176,-0.000472,0.000163,-0.000236,-0.001316,-0.002109,0,0,0.001771,-0.001471,0.007315,0.000008,-0.000031,7.10022318717307E-15,-0.000016,-0.00002,0.00001,-0.000026,-0.00003,0.00008,0.000046,0.000011,0.000005,0.00001,-0.000009,0.000209,-0.000076,0,0,-0.000251,0.001357,0.001551,-0.000026,0.000038,-0.000022,-0.000054,0,0,0.000061,0.000107,-0.000039
0.002717,-0.000372,0.00298,0.000043,0.000115,-0.000088,-0.000202,-0.000057,-0.001009,-0.000125,-0.000085,-0.0002,-0.000108,-0.000084,-0.000244,0.000152,0,0,0.002818,-0.006108,0.001503,-0.000222,0.000818,0.002178,-0.002998,0,0,0.001571,-0.001104,0.001192,-0.000044,0.000001,0.000142,0.000031,0.000146,0.000124,0.000011,-0.000019,0.000026,0.000002,0.000022,0.000002,0.000011,-0.000001,0.000036,-0.000039,0,0,0.000085,-0.000034,0.000071,-0.000036,-0.000005,-0.000009,0.000009,0,0,-0.000089,0.000013,-0.000112,-0.000021,-0.000197,-0.000005,0.000351,0.000024,0.001636,0.000407,-0.000071,0.000502,0.000062,0.000037,0.000014,0.00003,0.000002,-0.000103,0.000019,0,0,-0.000226,0.000217,0.000161,-0.000036,-0.000018,-0.000052,0.000024,0,0,0.0001,-0.000019,0.000017,-0.00013,-0.000062,-0.000036,0.000039,0.000054,0.000064,0.000007,-1.43101676342017E-14,-0.000028,-0.000049,-0.000025,-0.000007,-0.000001,0.000038,0.000004,0.000013,0,0,0.000077,-0.000118,-0.000137,0.000004,-0.000033,-0.000005,0.000015,0,0,-0.000077,-0.000009,-0.000076,-0.07132,0.008049,-0.069429,0.000074,0.001149,-0.000766,-0.001162,0.000156,-0.000983,-0.000032,0.000533,0.000189,-0.000093,-0.000001,0.00012,0.00041,0,0,-0.000719,-0.000395,-0.000306,0.0002,-0.000225,-0.000995,-0.001969,0,0,0.001503,-0.001021,0.005579,-0.000025,-0.000037,0.000133,0.000038,0.000077,-0.000164,-0.000026,-0.000027,0.000121,0.000046,-1.99493199737333E-17,0.000043,-0.00003,0.000038,0.000191,-0.000005,0,0,-0.000336,0.001665,0.000935,0.000011,-0.000041,-0.000055,-0.000076,0,0,-0.000009,0.000046,0.000039
0.002502,-0.000383,0.002711,-0.000014,0.000103,-0.000498,-0.00008,-0.000037,-0.000831,-0.000181,-0.00004,-0.000223,-0.00011,-0.000068,-0.000124,0.000184,0,0,0.002609,-0.005959,0.001103,-0.000168,0.00084,0.002086,-0.002517,0,0,0.001204,-0.000853,0.00105,0.000068,0.000009,-0.000074,-0.000048,-0.000122,-0.0002,-0.000033,0.000034,-0.000011,-0.000016,-0.000011,-0.000005,-0.000011,-0.000009,-0.000009,0.000004,0,0,0.00003,0.000103,-0.000094,0.000036,0.000005,0.000009,-0.000009,0,0,0.000067,-0.000021,0.000131,-0.000068,-0.000192,-0.000195,0.000213,-0.000121,0.001531,0.000367,-0.000032,0.000425,0.000075,0.000025,-0.000038,0.000045,-0.000031,-0.000038,-0.000041,0,0,0.000264,-0.000374,-0.000054,-0.000043,0.000022,-0.000082,-0.000009,0,0,-0.000001,-0.000043,0.000075,-0.000136,-0.000076,-0.000086,0.000038,0.000065,-0.000057,0.000058,0.000014,0.000064,0.000018,0.000007,0.000019,-0.000009,-0.000036,-0.000022,0.000024,0,0,-0.000151,-0.000016,0.000163,-0.000002,0.000021,0.000051,-0.000007,0,0,0.000084,0.000033,0.000045,-0.055374,0.010558,-0.053471,0.000115,0.001176,-0.000796,-0.001299,0.000095,-0.001138,-0.000029,0.000533,0.000196,-0.000029,-0.000029,0.000184,0.000475,0,0,-0.000666,-0.000174,-0.000076,0.000155,-0.000182,-0.000843,-0.00171,0,0,0.001189,-0.000636,0.0037,-0.000058,-0.000048,-0.000045,-0.000037,0.000007,0.000148,-0.000056,-0.000065,0.000089,-0.000016,0.000002,0.000001,-0.000011,0.000013,0.000254,0.000001,0,0,-0.000342,0.002201,0.001407,-0.000002,0.000075,-0.000101,-0.000091,0,0,0.000017,0.000061,-0.00001
0.00232,-0.000281,0.002661,0.000099,0.00024,-0.000184,-0.00013,-0.000033,-0.00085,-0.000122,-0.000069,-0.000227,-0.000146,-0.000092,-0.000161,0.000168,0,0,0.002084,-0.005706,0.000713,-0.000067,0.00082,0.002007,-0.00207,0,0,0.000834,-0.000604,0.001193,-0.00003,0.000026,0.000032,-0.000013,0.000068,-0.000075,0.000027,-0.000015,-0.000038,0.000016,0.000008,8.9305732947631E-16,-0.000019,0.000017,0.000054,-0.000015,0,0,0.000212,-0.000078,-0.000044,-0.000032,-0.000009,0.000015,-0.000015,0,0,-0.000038,0.000038,-0.000081,-0.000033,-0.000198,0.000043,0.000305,0.000091,0.001243,0.000362,-0.000045,0.000373,0.000076,0.000008,-0.000032,0.000023,0.000015,-0.000073,0.000045,0,0,-0.000296,0.000272,-0.000012,-0.000015,-0.000038,-0.000025,0.000024,0,0,0.000123,-0.000006,0.000138,-0.000131,-0.000035,-0.000178,-0.000038,-0.00003,0.000058,0.000048,-0.000029,0.000054,0.000014,-0.000007,-0.000027,0.000048,0.000021,0.000028,-0.000046,0,0,0.000041,-0.000008,0.000027,-0.000036,-0.000006,-0.000016,-1.42219135773614E-14,0,0,-0.000053,0.000017,-0.000106,-0.037247,0.012033,-0.035063,0.000024,0.001476,-0.000735,-0.001479,0.00003,-0.001266,1.00613961606655E-16,0.000493,0.000147,-0.000055,-0.000055,0.000135,0.00032,0,0,-0.000473,-0.000427,-0.000213,0.000163,-0.000231,-0.000696,-0.001528,0,0,0.000981,-0.000292,0.002311,-0.000117,-0.000048,0.000014,-0.000001,0.000055,-0.000195,-0.000031,-0.000053,0.000183,0.000047,0.000018,0.000028,-0.000021,0.000102,0.000228,-0.000012,0,0,-0.000097,0.002217,0.00144,0.000046,-0.000042,-0.000124,-0.000153,0,0,0.000044,-0.000016,-0.000047
0.002516,-0.000261,0.002746,0.000038,0.000138,-0.000223,-0.000068,0.000014,-0.000809,-0.00017,-0.000093,-0.000212,-0.000129,-0.000077,-0.000131,0.00025,0,0,0.001694,-0.005754,0.00005,0.00003,0.000748,0.001846,-0.001653,0,0,0.000464,-0.00047,0.00102,0.000044,0.000009,-0.000075,-0.000046,-0.000074,-0.000184,-0.000021,-0.000012,0.000019,-0.000002,-0.000027,0.000015,0.000017,-0.000018,-0.000009,-0.000018,0,0,-0.000081,0.000119,0.000014,0.000007,0.000016,-0.000039,0.000022,0,0,0.000038,-0.000048,0.000013,-0.000059,-0.000164,-0.000058,0.000337,0.000029,0.001501,0.000343,-0.000019,0.000393,0.000032,0.000029,-0.000024,0.000041,0.000023,-0.000104,-0.000026,0,0,0.000041,-0.000122,0.000223,-0.000037,-0.000034,-0.000065,0.000007,0,0,-0.000016,-0.000047,-0.000062,-0.000069,-0.000094,-0.000001,0.000029,0.000087,0.000013,0.000097,0.000046,0.000028,-0.000031,-0.000004,-0.000001,-0.000001,0.000022,-0.000016,0.000077,0,0,-0.000178,-0.000105,-0.000251,0.000027,-0.000036,0.000015,-0.000008,0,0,0.000084,0.000011,0.000046,-0.019912,0.012694,-0.017695,-0.000055,0.001527,-0.001057,-0.001557,-0.000044,-0.001363,-0.000017,0.000489,0.000267,-0.000037,-0.000022,0.000105,0.000434,0,0,-0.000523,-0.000392,0.000351,0.000128,-0.000193,-0.000534,-0.001268,0,0,0.00055,0.000035,0.000748,-0.00012,-0.000073,-0.000016,0.000023,0.000039,0.000084,-0.000026,-0.000087,0.000102,0.000031,-0.000021,0.000006,-0.000033,0.000026,0.000244,0.000065,0,0,-0.000148,0.002955,0.001588,0.000075,0.000065,-0.000212,-0.00019,0,0,0.00001,-0.000015,0.000084
