kambeng_LHipAngles_x,kambeng_LHipAngles_y,kambeng_LHipAngles_z,kambeng_LKneeAngles_x,kambeng_LKneeAngles_y,kambeng_LKneeAngles_z,kambeng_RHipAngles_x,kambeng_RHipAngles_y,kambeng_RHipAngles_z,kambeng_RKneeAngles_x,kambeng_RKneeAngles_y,kambeng_RKneeAngles_z,kambeng_LShoulderAngles_x,kambeng_LShoulderAngles_y,kambeng_LShoulderAngles_z,kambeng_LElbowAngles_x,kambeng_LElbowAngles_y,kambeng_LElbowAngles_z,kambeng_LWristAngles_x,kambeng_LWristAngles_y,kambeng_LWristAngles_z,kambeng_RShoulderAngles_x,kambeng_RShoulderAngles_y,kambeng_RShoulderAngles_z,kambeng_RElbowAngles_x,kambeng_RElbowAngles_y,kambeng_RElbowAngles_z,kambeng_RWristAngles_x,kambeng_RWristAngles_y,kambeng_RWristAngles_z,impur_LHipAngles_x,impur_LHipAngles_y,impur_LHipAngles_z,impur_LKneeAngles_x,impur_LKneeAngles_y,impur_LKneeAngles_z,impur_RHipAngles_x,impur_RHipAngles_y,impur_RHipAngles_z,impur_RKneeAngles_x,impur_RKneeAngles_y,impur_RKneeAngles_z,impur_LShoulderAngles_x,impur_LShoulderAngles_y,impur_LShoulderAngles_z,impur_LElbowAngles_x,impur_LElbowAngles_y,impur_LElbowAngles_z,impur_LWristAngles_x,impur_LWristAngles_y,impur_LWristAngles_z,impur_RShoulderAngles_x,impur_RShoulderAngles_y,impur_RShoulderAngles_z,impur_RElbowAngles_x,impur_RElbowAngles_y,impur_RElbowAngles_z,impur_RWristAngles_x,impur_RWristAngles_y,impur_RWristAngles_z,kagok-kinantang_LHipAngles_x,kagok-kinantang_LHipAngles_y,kagok-kinantang_LHipAngles_z,kagok-kinantang_LKneeAngles_x,kagok-kinantang_LKneeAngles_y,kagok-kinantang_LKneeAngles_z,kagok-kinantang_RHipAngles_x,kagok-kinantang_RHipAngles_y,kagok-kinantang_RHipAngles_z,kagok-kinantang_RKneeAngles_x,kagok-kinantang_RKneeAngles_y,kagok-kinantang_RKneeAngles_z,kagok-kinantang_LShoulderAngles_x,kagok-kinantang_LShoulderAngles_y,kagok-kinantang_LShoulderAngles_z,kagok-kinantang_LElbowAngles_x,kagok-kinantang_LElbowAngles_y,kagok-kinantang_LElbowAngles_z,kagok-kinantang_LWristAngles_x,kagok-kinantang_LWristAngles_y,kagok-kinantang_LWristAngles_z,kagok-kinantang_RShoulderAngles_x,kagok-kinantang_RShoulderAngles_y,kagok-kinantang_RShoulderAngles_z,kagok-kinantang_RElbowAngles_x,kagok-kinantang_RElbowAngles_y,kagok-kinantang_RElbowAngles_z,kagok-kinantang_RWristAngles_x,kagok-kinantang_RWristAngles_y,kagok-kinantang_RWristAngles_z,kalang-kinantang_LHipAngles_x,kalang-kinantang_LHipAngles_y,kalang-kinantang_LHipAngles_z,kalang-kinantang_LKneeAngles_x,kalang-kinantang_LKneeAngles_y,kalang-kinantang_LKneeAngles_z,kalang-kinantang_RHipAngles_x,kalang-kinantang_RHipAngles_y,kalang-kinantang_RHipAngles_z,kalang-kinantang_RKneeAngles_x,kalang-kinantang_RKneeAngles_y,kalang-kinantang_RKneeAngles_z,kalang-kinantang_LShoulderAngles_x,kalang-kinantang_LShoulderAngles_y,kalang-kinantang_LShoulderAngles_z,kalang-kinantang_LElbowAngles_x,kalang-kinantang_LElbowAngles_y,kalang-kinantang_LElbowAngles_z,kalang-kinantang_LWristAngles_x,kalang-kinantang_LWristAngles_y,kalang-kinantang_LWristAngles_z,kalang-kinantang_RShoulderAngles_x,kalang-kinantang_RShoulderAngles_y,kalang-kinantang_RShoulderAngles_z,kalang-kinantang_RElbowAngles_x,kalang-kinantang_RElbowAngles_y,kalang-kinantang_RElbowAngles_z,kalang-kinantang_RWristAngles_x,kalang-kinantang_RWristAngles_y,kalang-kinantang_RWristAngles_z,kambeng-dhengklik_LHipAngles_x,kambeng-dhengklik_LHipAngles_y,kambeng-dhengklik_LHipAngles_z,kambeng-dhengklik_LKneeAngles_x,kambeng-dhengklik_LKneeAngles_y,kambeng-dhengklik_LKneeAngles_z,kambeng-dhengklik_RHipAngles_x,kambeng-dhengklik_RHipAngles_y,kambeng-dhengklik_RHipAngles_z,kambeng-dhengklik_RKneeAngles_x,kambeng-dhengklik_RKneeAngles_y,kambeng-dhengklik_RKneeAngles_z,kambeng-dhengklik_LShoulderAngles_x,kambeng-dhengklik_LShoulderAngles_y,kambeng-dhengklik_LShoulderAngles_z,kambeng-dhengklik_LElbowAngles_x,kambeng-dhengklik_LElbowAngles_y,kambeng-dhengklik_LElbowAngles_z,kambeng-dhengklik_LWristAngles_x,kambeng-dhengklik_LWristAngles_y,kambeng-dhengklik_LWristAngles_z,kambeng-dhengklik_RShoulderAngles_x,kambeng-dhengklik_RShoulderAngles_y,kambeng-dhengklik_RShoulderAngles_z,kambeng-dhengklik_RElbowAngles_x,kambeng-dhengklik_RElbowAngles_y,kambeng-dhengklik_RElbowAngles_z,kambeng-dhengklik_RWristAngles_x,kambeng-dhengklik_RWristAngles_y,kambeng-dhengklik_RWristAngles_z,jatayu_LHipAngles_x,jatayu_LHipAngles_y,jatayu_LHipAngles_z,jatayu_LKneeAngles_x,jatayu_LKneeAngles_y,jatayu_LKneeAngles_z,jatayu_RHipAngles_x,jatayu_RHipAngles_y,jatayu_RHipAngles_z,jatayu_RKneeAngles_x,jatayu_RKneeAngles_y,jatayu_RKneeAngles_z,jatayu_LShoulderAngles_x,jatayu_LShoulderAngles_y,jatayu_LShoulderAngles_z,jatayu_LElbowAngles_x,jatayu_LElbowAngles_y,jatayu_LElbowAngles_z,jatayu_LWristAngles_x,jatayu_LWristAngles_y,jatayu_LWristAngles_z,jatayu_RShoulderAngles_x,jatayu_RShoulderAngles_y,jatayu_RShoulderAngles_z,jatayu_RElbowAngles_x,jatayu_RElbowAngles_y,jatayu_RElbowAngles_z,jatayu_RWristAngles_x,jatayu_RWristAngles_y,jatayu_RWristAngles_z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.29454,-0.001351,1.331917,0.195847,-0.124485,0.145652,-0.633023,-0.033749,-0.680155,-0.066345,-0.16235,-0.078423,0.142955,0.132092,0.647037,0.391159,0,0,1.263996,1.622999,0.905178,0.417544,0.576049,0.967808,0.291573,0,0,-0.455734,0.160069,0.426376,-0.002541,-0.095741,-0.062817,-0.018677,-0.092837,0.213897,-0.028904,0.015434,-0.015606,-0.006042,-0.039529,0.002334,0.025222,-0.053291,-0.081077,-0.070473,0,0,0.030649,-0.148672,0.085693,-0.023963,0.00336,-0.029625,0.022285,0,0,-0.005691,-0.019135,0.017015,0.059761,-0.182091,0.059504,-0.188934,0.158274,-1.196592,0.361999,0.05444,0.163023,0.034393,-0.044097,0.011276,0.011976,0.083218,-0.01984,-0.105557,0,0,-0.047182,0.158581,0.05415,0.11181,-0.005737,0.064995,0.024421,0,0,-0.082756,-0.080444,-0.022767,-0.372238,0.132588,-0.393786,-0.132744,-0.041388,-0.101928,-0.060634,-0.104149,-0.032862,-0.024719,-0.012506,-0.010821,-0.040399,0.012836,0.001653,-0.036286,0,0,-0.164592,0.155407,0.136379,0.043873,-0.016685,-0.015667,-0.007721,0,0,-0.020744,-0.035372,-0.047333,4.603653,0.364113,3.966755,-0.218826,-0.688204,0.079404,0.79784,-0.589466,1.020185,0.131652,-0.0344,0.025057,0.112924,0.609993,-0.613409,-0.262947,0,0,0.59333,-0.57716,0.573577,0.292295,-0.463413,-0.978377,-0.016906,0,0,-0.69215,0.590692,-1.983521,-0.019134,-0.134003,0.032207,-0.007294,0.031433,0.039072,0.061691,0.007278,0.143291,0.004608,-0.015235,-0.004047,0.093401,-0.099537,-0.176839,-0.151596,0,0,0.370404,-0.419674,0.064286,-0.051315,-0.083061,-0.066269,-0.016632,0,0,-0.071106,-0.073594,-0.029363
1.239228,-0.002571,1.266883,0.194114,-0.13871,0.153562,-0.616214,-0.034263,-0.63607,-0.060288,-0.157745,-0.068916,0.146393,0.142712,0.630868,0.37664,0,0,1.321289,1.606188,1.000881,0.385669,0.522755,0.877979,0.293396,0,0,-0.436493,0.163863,0.392822,0.002236,-0.094921,-0.05377,-0.015716,-0.088857,0.213257,-0.024708,0.017201,-0.014019,-0.005936,-0.0378,0.001736,0.024718,-0.049874,-0.076312,-0.068283,0,0,0.026334,-0.138229,0.083695,-0.021237,0.003228,-0.027824,0.020561,0,0,-0.005234,-0.017551,0.016254,0.057137,-0.179692,0.05504,-0.187409,0.148552,-1.185534,0.341732,0.052135,0.154629,0.03215,-0.044286,0.010716,0.011978,0.085071,-0.010153,-0.097942,0,0,-0.044996,0.156237,0.048405,0.110384,-0.00407,0.064361,0.025299,0,0,-0.084099,-0.077268,-0.023498,-0.362312,0.132709,-0.385946,-0.131439,-0.041688,-0.095468,-0.054119,-0.101463,-0.026619,-0.023239,-0.010671,-0.009953,-0.038089,0.01395,0.00338,-0.038482,0,0,-0.161174,0.158851,0.146488,0.045717,-0.016972,-0.015606,-0.007194,0,0,-0.020707,-0.036395,-0.044815,4.745697,0.219291,4.084549,-0.219139,-0.697596,0.099943,0.818898,-0.564888,1.021062,0.108841,-0.047696,0.017221,0.101799,0.598236,-0.600451,-0.265625,0,0,0.582672,-0.555901,0.556412,0.311678,-0.431135,-0.978126,-0.01091,0,0,-0.688866,0.577033,-1.95607,-0.011902,-0.131191,0.03674,-0.006469,0.029236,0.03409,0.064183,0.011631,0.139153,0.004501,-0.014008,-0.003523,0.08586,-0.090858,-0.16206,-0.138481,0,0,0.32768,-0.397308,0.049263,-0.04783,-0.0737,-0.055763,-0.01168,0,0,-0.067803,-0.065292,-0.029213
1.186813,-0.004387,1.205071,0.192353,-0.152813,0.16068,-0.599682,-0.034855,-0.593066,-0.054473,-0.153118,-0.059651,0.149737,0.153247,0.614416,0.362221,0,0,1.381787,1.583364,1.098599,0.353282,0.470249,0.790253,0.290542,0,0,-0.414108,0.165557,0.360047,0.00698,-0.094097,-0.044714,-0.012817,-0.084835,0.212601,-0.020477,0.018917,-0.012485,-0.005753,-0.036113,0.001149,0.024202,-0.046417,-0.071481,-0.066109,0,0,0.021954,-0.127493,0.082046,-0.018516,0.003074,-0.026009,0.01886,0,0,-0.004753,-0.015957,0.015493,0.054435,-0.17752,0.050515,-0.185516,0.138734,-1.172325,0.321923,0.049736,0.146753,0.030014,-0.044469,0.010101,0.012015,0.086941,-0.000457,-0.090302,0,0,-0.042951,0.154089,0.042618,0.108923,-0.002423,0.063667,0.0262,0,0,-0.08535,-0.074108,-0.024216,-0.35257,0.132767,-0.37826,-0.130104,-0.041926,-0.088979,-0.047493,-0.098831,-0.020269,-0.021759,-0.008842,-0.009068,-0.035746,0.015095,0.005144,-0.040718,0,0,-0.157693,0.162194,0.156727,0.047535,-0.017307,-0.015579,-0.006653,0,0,-0.02066,-0.037411,-0.042237,4.806381,0.07193,4.12233,-0.219162,-0.706412,0.119943,0.839206,-0.539993,1.02139,0.085968,-0.060297,0.009569,0.090601,0.58648,-0.58725,-0.267777,0,0,0.570977,-0.534792,0.538422,0.331225,-0.399096,-0.979727,-0.007256,0,0,-0.683515,0.560854,-1.917877,-0.004616,-0.128388,0.041305,-0.005669,0.027027,0.029024,0.066658,0.015965,0.135101,0.004441,-0.012777,-0.002983,0.078303,-0.082192,-0.147056,-0.125481,0,0,0.284542,-0.37351,0.035797,-0.044376,-0.064335,-0.045227,-0.006775,0,0,-0.064461,-0.0569,-0.02907
1.137207,-0.006683,1.146378,0.19065,-0.166752,0.167855,-0.583393,-0.03553,-0.55108,-0.048768,-0.1485,-0.050591,0.152978,0.163731,0.597704,0.347946,0,0,1.445415,1.554337,1.198162,0.320495,0.418583,0.704704,0.283577,0,0,-0.389153,0.165471,0.328186,0.011727,-0.093274,-0.035568,-0.009873,-0.080763,0.212006,-0.016273,0.020668,-0.010872,-0.005645,-0.034376,0.000556,0.023688,-0.042957,-0.066638,-0.063957,0,0,0.017804,-0.116915,0.079987,-0.015801,0.002899,-0.024208,0.017128,0,0,-0.004318,-0.014359,0.014772,0.05169,-0.175579,0.045838,-0.18335,0.128798,-1.157326,0.302589,0.047253,0.139444,0.027954,-0.044602,0.009477,0.012081,0.08878,0.009097,-0.082687,0,0,-0.040843,0.151716,0.036911,0.107435,-0.000774,0.06292,0.027092,0,0,-0.086563,-0.070998,-0.024856,-0.342903,0.132755,-0.370622,-0.128723,-0.042143,-0.082414,-0.040852,-0.096161,-0.013905,-0.020295,-0.007026,-0.008194,-0.033435,0.016235,0.0069,-0.042878,0,0,-0.154471,0.165681,0.166874,0.049378,-0.01762,-0.015526,-0.006134,0,0,-0.020607,-0.038435,-0.039703,4.780777,-0.074257,4.075313,-0.218972,-0.714555,0.139233,0.858616,-0.514809,1.020981,0.063034,-0.072303,0.00211,0.079333,0.574722,-0.573857,-0.269417,0,0,0.558395,-0.513893,0.519943,0.350952,-0.367294,-0.982881,-0.005894,0,0,-0.676143,0.542694,-1.870521,0.002594,-0.125641,0.046026,-0.004814,0.024937,0.023936,0.069057,0.020279,0.131157,0.004349,-0.011523,-0.002423,0.070698,-0.073505,-0.131858,-0.112507,0,0,0.240998,-0.348286,0.022979,-0.040923,-0.054947,-0.034672,-0.001892,0,0,-0.061096,-0.048401,-0.028974
1.09024,-0.009461,1.09066,0.188958,-0.180531,0.174359,-0.567257,-0.036278,-0.510035,-0.043258,-0.143887,-0.041784,0.156115,0.174122,0.580766,0.333786,0,0,1.512112,1.519386,1.29932,0.287379,0.367767,0.62138,0.273094,0,0,-0.362106,0.164004,0.297378,0.01654,-0.092414,-0.026529,-0.007004,-0.076794,0.21112,-0.012081,0.022419,-0.009342,-0.005509,-0.032686,-0.000045,0.023165,-0.03952,-0.061793,-0.061809,0,0,0.013665,-0.106134,0.078071,-0.013069,0.002747,-0.022407,0.015411,0,0,-0.003808,-0.012771,0.014084,0.048858,-0.173882,0.041129,-0.180832,0.118818,-1.140501,0.283665,0.044727,0.132551,0.025955,-0.044748,0.008775,0.012175,0.090625,0.018653,-0.075016,0,0,-0.038853,0.149362,0.03112,0.105931,0.000881,0.062145,0.02803,0,0,-0.087784,-0.067892,-0.025391,-0.333374,0.132687,-0.363119,-0.127396,-0.042307,-0.07585,-0.034069,-0.093521,-0.007383,-0.018798,-0.005202,-0.007323,-0.031102,0.01738,0.008692,-0.045051,0,0,-0.151234,0.169116,0.177086,0.051203,-0.017937,-0.015495,-0.0056,0,0,-0.020538,-0.039438,-0.037155,4.672684,-0.215576,3.947415,-0.218528,-0.721838,0.15781,0.876991,-0.489414,1.019755,0.040009,-0.0837,-0.005218,0.068032,0.562935,-0.560244,-0.270553,0,0,0.54501,-0.49317,0.500992,0.370842,-0.335728,-0.987351,-0.006641,0,0,-0.667,0.523063,-1.81585,0.009812,-0.122925,0.050747,-0.003975,0.022827,0.018858,0.07143,0.024563,0.127293,0.004303,-0.010258,-0.001858,0.063103,-0.064827,-0.116451,-0.099609,0,0,0.197203,-0.321705,0.011712,-0.037496,-0.045521,-0.024139,0.002937,0,0,-0.05767,-0.039795,-0.028917
1.04599,-0.012611,1.037922,0.187309,-0.194195,0.180775,-0.551323,-0.037083,-0.469999,-0.037873,-0.139359,-0.033177,0.159144,0.184429,0.563584,0.319778,0,0,1.581627,1.478327,1.401981,0.254041,0.317769,0.540234,0.259613,0,0,-0.333488,0.161433,0.267762,0.021309,-0.091553,-0.017348,-0.004104,-0.072679,0.210358,-0.007878,0.024151,-0.007786,-0.005371,-0.030974,-0.000644,0.022653,-0.036084,-0.056912,-0.0597,0,0,0.009611,-0.095387,0.076226,-0.010373,0.00259,-0.020615,0.013703,0,0,-0.003387,-0.01117,0.013284,0.046005,-0.172382,0.036415,-0.177963,0.108862,-1.12204,0.265148,0.04213,0.12616,0.024018,-0.044857,0.008087,0.012299,0.092472,0.028106,-0.067326,0,0,-0.037089,0.147225,0.02549,0.104391,0.002518,0.061318,0.028992,0,0,-0.088905,-0.064805,-0.025909,-0.323975,0.132557,-0.355652,-0.12603,-0.042417,-0.069222,-0.027279,-0.090881,-0.000889,-0.01735,-0.003403,-0.006459,-0.02877,0.018563,0.010488,-0.047211,0,0,-0.14792,0.172433,0.187161,0.053032,-0.018287,-0.015469,-0.005051,0,0,-0.020546,-0.04045,-0.034683,4.493271,-0.348846,3.750088,-0.21801,-0.727972,0.175621,0.894204,-0.463863,1.017546,0.016952,-0.094564,-0.012357,0.056638,0.551147,-0.546511,-0.271279,0,0,0.530906,-0.472842,0.481735,0.390932,-0.304387,-0.992816,-0.009357,0,0,-0.656354,0.502411,-1.7556,0.017005,-0.120246,0.055601,-0.003098,0.020794,0.013616,0.073777,0.02882,0.12355,0.004303,-0.008993,-0.00125,0.055478,-0.056111,-0.100853,-0.086716,0,0,0.153072,-0.293459,0.00138,-0.034058,-0.036136,-0.013661,0.00769,0,0,-0.054253,-0.031143,-0.028821
1.004242,-0.016144,0.987895,0.185646,-0.207756,0.186693,-0.535469,-0.037925,-0.430794,-0.032669,-0.134871,-0.024793,0.162063,0.194668,0.546278,0.305954,0,0,1.653751,1.431309,1.505745,0.220535,0.268611,0.461174,0.243615,0,0,-0.303666,0.158009,0.239196,0.026146,-0.090683,-0.008241,-0.001252,-0.068686,0.209396,-0.003708,0.025917,-0.006241,-0.005249,-0.029273,-0.001248,0.02213,-0.032657,-0.05204,-0.057587,0,0,0.005587,-0.084537,0.074287,-0.007641,0.002438,-0.018814,0.011986,0,0,-0.002899,-0.00959,0.012615,0.043084,-0.171074,0.031506,-0.174881,0.098785,-1.102048,0.246998,0.039501,0.120194,0.022156,-0.044941,0.007361,0.012468,0.094288,0.037521,-0.059677,0,0,-0.035061,0.144714,0.019806,0.102808,0.004177,0.060409,0.029945,0,0,-0.090027,-0.061761,-0.026352,-0.314712,0.132351,-0.348271,-0.124626,-0.042462,-0.062651,-0.020431,-0.088227,0.005669,-0.015884,-0.001597,-0.005576,-0.026447,0.01971,0.012262,-0.049347,0,0,-0.144757,0.175734,0.197399,0.054859,-0.018616,-0.015392,-0.004509,0,0,-0.02047,-0.041429,-0.032166,4.258484,-0.471558,3.49929,-0.217377,-0.73293,0.192636,0.910118,-0.438217,1.014199,-0.006134,-0.104895,-0.0193,0.045215,0.53933,-0.532594,-0.27153,0,0,0.516136,-0.452688,0.462402,0.411177,-0.273228,-0.999124,-0.013783,0,0,-0.644519,0.481123,-1.69165,0.02414,-0.117615,0.06041,-0.002258,0.018768,0.008522,0.076068,0.033012,0.119896,0.004287,-0.007726,-0.000641,0.047842,-0.047382,-0.085001,-0.073822,0,0,0.108599,-0.263012,-0.007545,-0.030622,-0.026676,-0.003284,0.012352,0,0,-0.050819,-0.02243,-0.028735
0.964814,-0.019958,0.940529,0.184082,-0.221077,0.192427,-0.519745,-0.0388,-0.392439,-0.027587,-0.130452,-0.016636,0.164836,0.204815,0.528811,0.292298,0,0,1.727959,1.378585,1.610222,0.186962,0.220273,0.384121,0.225547,0,0,-0.27301,0.153981,0.211823,0.030953,-0.089787,0.000898,0.001587,-0.064625,0.208359,0.000489,0.027668,-0.004734,-0.005111,-0.027564,-0.001852,0.021588,-0.029213,-0.047114,-0.055489,0,0,0.001775,-0.073765,0.072304,-0.004941,0.002277,-0.016998,0.010254,0,0,-0.002449,-0.007972,0.011865,0.04013,-0.169964,0.02664,-0.171494,0.088799,-1.080813,0.22921,0.036827,0.114601,0.02037,-0.045017,0.006603,0.01266,0.096119,0.046863,-0.051983,0,0,-0.033329,0.142475,0.01411,0.10121,0.005798,0.059475,0.030922,0,0,-0.091026,-0.058723,-0.026657,-0.30558,0.13211,-0.341068,-0.12326,-0.042537,-0.056022,-0.013535,-0.085602,0.012281,-0.014404,0.000202,-0.00472,-0.024076,0.020878,0.014064,-0.051529,0,0,-0.141553,0.179027,0.207664,0.05665,-0.018951,-0.015331,-0.003967,0,0,-0.020447,-0.042391,-0.029755,3.98645,-0.582237,3.213429,-0.21672,-0.736412,0.208916,0.924553,-0.412541,1.009586,-0.02922,-0.114733,-0.026096,0.033737,0.527458,-0.518542,-0.271461,0,0,0.500893,-0.432961,0.442856,0.431585,-0.2423,-1.006128,-0.019737,0,0,-0.631703,0.459543,-1.625389,0.031158,-0.115032,0.065233,-0.001419,0.016797,0.003233,0.078328,0.037151,0.116425,0.004318,-0.006441,-0.000004,0.040185,-0.038551,-0.068921,-0.06094,0,0,0.064029,-0.230348,-0.01503,-0.02714,-0.017258,0.006969,0.016861,0,0,-0.047341,-0.013733,-0.028696
0.927902,-0.024033,0.895909,0.182556,-0.23426,0.197938,-0.504089,-0.039661,-0.354893,-0.022675,-0.126126,-0.008691,0.16748,0.214885,0.511213,0.278892,0,0,1.803861,1.320107,1.714749,0.153419,0.172683,0.308914,0.205826,0,0,-0.24189,0.149483,0.18547,0.035804,-0.088882,0.009962,0.00438,-0.060638,0.207138,0.004665,0.029407,-0.003208,-0.004975,-0.025882,-0.002441,0.021063,-0.025787,-0.042197,-0.053409,0,0,-0.002118,-0.062874,0.070335,-0.002234,0.002132,-0.015221,0.008544,0,0,-0.001961,-0.006402,0.011128,0.037117,-0.169018,0.021716,-0.16777,0.078842,-1.058077,0.211765,0.034134,0.109401,0.018616,-0.045064,0.005821,0.012893,0.097973,0.056101,-0.044315,0,0,-0.031556,0.140114,0.008637,0.099575,0.007385,0.058476,0.031906,0,0,-0.092041,-0.055732,-0.027024,-0.296517,0.131775,-0.333866,-0.121865,-0.042525,-0.04938,-0.006542,-0.082931,0.018921,-0.012955,0.001997,-0.003865,-0.021706,0.022068,0.01585,-0.053634,0,0,-0.138527,0.182215,0.217678,0.058468,-0.019322,-0.015255,-0.003433,0,0,-0.02034,-0.043342,-0.027298,3.694504,-0.680222,2.909873,-0.216118,-0.738367,0.224139,0.937431,-0.386909,1.00361,-0.052323,-0.124082,-0.032625,0.022222,0.515564,-0.504385,-0.270958,0,0,0.485127,-0.413626,0.423661,0.452121,-0.211565,-1.013666,-0.026959,0,0,-0.618337,0.437998,-1.55838,0.038056,-0.112522,0.07004,-0.000557,0.014865,-0.001972,0.080562,0.041203,0.113056,0.00438,-0.005177,0.000639,0.032495,-0.029694,-0.052597,-0.047993,0,0,0.019311,-0.194729,-0.020927,-0.023583,-0.007775,0.01701,0.02118,0,0,-0.043853,-0.005051,-0.028573
